DATAFLOW,LAST UPDATE,freq,dairyprod,milkitem,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,BE,1964,2212,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,BE,1965,2432,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,BE,1966,2609,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,BE,1967,2753,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,BE,1968,2915,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,BE,1969,2799,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,BE,1970,2654,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,BE,1971,2611,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,BE,1972,2781,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,BE,1973,2715,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,BE,1974,2806,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,BE,1975,2771,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,BE,1976,2788,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,BE,1977,2826,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,BE,1978,2976,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,BE,1979,3039,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,BE,1980,3048.12,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,BE,1981,3077.2,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,BE,1982,3095.5,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,BE,1983,3224.7,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,BE,1984,3089,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,BE,1985,3162,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,BE,1986,3300.00,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,BE,1987,3159.00,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,BE,1988,3068.00,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,BE,1989,3101.00,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,BE,1990,2988.00,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,BE,1991,2969.00,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,BE,1992,2920.00,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,BE,1993,2882.00,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,BE,1994,2919.00,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,BE,1995,2973.00,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,BE,1996,3021.00,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,BE,1997,2859.00,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,BE,1998,3066.00,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,BE,1999,3025.00,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,BE,2000,3090.00,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,BE,2001,3061.00,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,BE,2002,2890.00,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,BE,2003,2827.00,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,BE,2004,2841.00,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,BE,2005,2823.00,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,BE,2006,2767.00,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,BE,2007,2801.00,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,BE,2008,2753.00,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,BE,2009,2860.00,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,BE,2010,2973.00,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,BE,2011,3013.00,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,BE,2012,2980.00,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,BE,2013,3390.00,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,BE,2014,3575.00,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,BE,2015,3683.00,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,BE,2016,3825.00,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,BE,2017,3970.00,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,BE,2018,4122.00,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,BE,2019,4231.00,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,BE,2020,4385.00,
